,u,dv,x,dx,theta,dtheta
195979,-0.661065,0,-0.013397,-0.042646,-0.111176,0.121951
195999,-0.665908,0,-0.014709,-0.047121,-0.112537,0.121951
196019,-0.666869,0,-0.016123,-0.053974,-0.113753,0.121951
196039,-0.613164,0,-0.017638,-0.060659,-0.115227,0.182927
196059,-0.564137,0,-0.019119,-0.065714,-0.117185,0.243902
196079,-0.631397,0,-0.020499,-0.067396,-0.119266,0.182927
196099,-0.642862,0,-0.021879,-0.067962,-0.121107,0.182927
196119,-0.547268,0,-0.02336,-0.068095,-0.123433,0.304878
196139,-0.620061,0,-0.02474,-0.067258,-0.125762,0.243902
196159,-0.585415,0,-0.02612,-0.066555,-0.128594,0.304878
196179,-0.549816,0,-0.027433,-0.065853,-0.131398,0.365854
196199,-0.681635,0,-0.028779,-0.064871,-0.134224,0.243902
196219,-0.751187,0,-0.030227,-0.065584,-0.136182,0.182927
196239,-0.761021,0,-0.031775,-0.067269,-0.138017,0.182927
196259,-0.769291,0,-0.033525,-0.071205,-0.139734,0.182927
196279,-0.776469,0,-0.035309,-0.07598,-0.141699,0.182927
196299,-0.833887,0,-0.037161,-0.081035,-0.142941,0.121951
196319,-0.835957,0,-0.039146,-0.085942,-0.144177,0.121951
196339,-0.786335,0,-0.041166,-0.089592,-0.145895,0.182927
196379,-0.904451,0,-0.045407,-0.096177,-0.148371,0.060976
196399,-0.850332,0,-0.047595,-0.098989,-0.149347,0.121951
196419,-0.854964,0,-0.049817,-0.100955,-0.150592,0.121951
196440,-0.806028,0,-0.052038,-0.103344,-0.152081,0.182927
196460,-0.76206,0,-0.054192,-0.104458,-0.154078,0.243902
196480,-0.723051,0,-0.056279,-0.103066,-0.156402,0.304878
196500,-0.796316,0,-0.058265,-0.100821,-0.15875,0.243902
196520,-0.652496,0,-0.060218,-0.098297,-0.161685,0.426829
196540,-0.736763,0,-0.062035,-0.094369,-0.165327,0.365854
196560,-0.817987,0,-0.063819,-0.091146,-0.168487,0.304878
