timestamp (python), timestamp (Teensy), Angular pos (deg),Angular position 0 indexed, AGC, Status, Angular Vel (deg),,Angle offset
37.420784,1178,153.1933594,0,51,103,0,,
37.43078423,1189,153.1933594,0,51,103,0,,
37.44078541,1199,153.1933594,0,51,103,0,,
37.45178556,1210,153.1933594,0,51,103,0,,
37.46178389,1220,153.1933594,0,51,103,0,,
37.4727881,1231,153.1933594,0,51,103,0,,
37.48278594,1241,153.1933594,0,51,103,0,,
37.49278855,1251,153.1933594,0,51,103,0,,
37.50378418,1262,153.1933594,0,51,103,0,,
37.51439047,1272,153.1933594,0,51,103,0,,
37.52440453,1283,153.1933594,0,51,103,0,,
37.53540015,1293,153.1933594,0,51,103,0,,
37.54540181,1303,153.1933594,0,51,103,0,,
37.55540013,1314,153.1933594,0,51,103,0,,
37.56640005,1324,153.1933594,0,51,103,0,,
37.57640195,1335,153.1933594,0,51,103,0,,
37.58740234,1345,153.1933594,0,51,103,0,,
37.59740019,1356,153.1933594,0,51,103,0,,
37.60740232,1366,153.1933594,0,51,103,0,,
37.61840224,1376,153.1933594,0,51,103,0,,
37.62840152,1387,153.1933594,0,51,103,0,,
37.63940001,1397,153.1933594,0,51,103,0,,
37.6494019,1408,153.1933594,0,51,103,0,,
37.66040087,1418,153.1933594,0,51,103,0,,
37.6704011,1429,153.1933594,0,51,103,0,,
37.68040109,1439,153.1933594,0,51,103,0,,
37.691401,1449,153.1933594,0,51,103,0,,
37.70140147,1460,153.1933594,0,51,103,0,,
37.71240139,1470,153.1933594,0,51,103,0,,
37.72240138,1481,153.1933594,0,51,103,0,,
37.73340273,1491,153.1933594,0,51,103,0,,
37.74340296,1502,153.1933594,0,51,103,0,,
37.75340176,1512,153.1933594,0,51,103,0,,
37.76440215,1522,153.1933594,0,51,103,0,,
37.77439928,1533,153.1933594,0,51,103,0,,
37.7854023,1543,153.1933594,0,51,103,0,,
37.79540181,1554,153.1933594,0,51,103,0,,
37.80640054,1564,153.1933594,0,51,103,0,,
37.81640029,1575,153.1933594,0,51,103,0,,
37.82640553,1585,153.1933594,0,51,103,0,,
37.83740211,1595,153.1933594,0,51,103,0,,
37.84740067,1606,153.1933594,0,51,103,0,,
37.85840011,1616,153.1933594,0,51,103,0,,
37.8684001,1627,153.1933594,0,51,103,0,,
37.87940097,1637,153.1933594,0,51,103,0,,
37.88982844,1648,153.1933594,0,51,103,0,,
37.89941835,1658,153.1933594,0,51,103,0,,
37.9104166,1668,153.1933594,0,51,103,0,,
37.92042112,1679,153.1933594,0,51,103,0,,
37.93141842,1689,153.1933594,0,51,103,0,,
37.94141698,1700,153.1933594,0,51,103,0,,
37.9524188,1710,153.1933594,0,51,103,0,,
37.96241713,1720,153.1933594,0,51,103,0,,
37.97241974,1731,153.28125,0.087890625,51,103,8.7890625,,
37.98341632,1741,153.28125,0.087890625,51,103,0,,
37.99358058,1752,153.3691406,0.17578125,51,103,8.7890625,,
38.0044167,1762,153.4570313,0.263671875,51,103,7.990057,,
38.01442122,1773,153.5449219,0.3515625,51,103,8.7890625,,
38.02541852,1783,153.6328125,0.439453125,51,103,8.7890625,,
38.03542185,1793,153.7207031,0.52734375,51,103,7.990057,,
38.04541659,1804,153.7207031,0.52734375,51,103,0,,
38.05641627,1814,153.8085938,0.615234375,51,103,7.990057,,
38.06641746,1825,153.8964844,0.703125,51,103,8.7890625,,
38.07741666,1835,153.984375,0.791015625,51,103,7.990057,,
38.08741641,1846,153.984375,0.791015625,51,103,0,,
38.09741926,1856,154.0722656,0.87890625,51,103,8.7890625,,
38.10841846,1866,154.0722656,0.87890625,51,103,0,,
38.11905789,1877,154.0722656,0.87890625,51,103,0,,
38.12905836,1887,154.0722656,0.87890625,51,103,0,,
38.1400578,1898,154.1601563,0.966796875,51,103,8.7890625,,
38.15005565,1908,154.1601563,0.966796875,51,103,0,,
38.1606617,1919,154.0722656,0.87890625,51,103,-8.7890625,,
38.1706717,1929,154.0722656,0.87890625,51,103,0,,
38.18167281,1939,154.0722656,0.87890625,51,103,0,,
38.19167376,1950,154.0722656,0.87890625,51,103,0,,
38.20167184,1960,153.984375,0.791015625,51,103,-7.990057,,
38.21267223,1971,153.8964844,0.703125,51,103,-8.7890625,,
38.2236743,1981,153.8964844,0.703125,51,103,0,,
38.23367643,1992,153.8964844,0.703125,51,103,0,,
38.2436738,2002,153.8085938,0.615234375,51,103,-8.7890625,,
38.25467443,2012,153.8085938,0.615234375,51,103,0,,
38.26467156,2023,153.8085938,0.615234375,51,103,0,,
38.27567148,2033,153.8964844,0.703125,51,103,7.990057,,
38.28567195,2044,153.984375,0.791015625,51,103,8.7890625,,
38.29567122,2054,154.0722656,0.87890625,51,103,7.990057,,
38.30671382,2065,154.1601563,0.966796875,51,103,8.7890625,,
38.316715,2075,154.2480469,1.0546875,51,103,8.7890625,,
38.32771564,2085,154.4238281,1.23046875,51,103,15.980114,,
38.33771443,2096,154.5117188,1.318359375,51,103,8.7890625,,
38.34771633,2106,154.6875,1.494140625,51,103,15.980114,,
38.35871482,2117,154.7753906,1.58203125,51,103,8.7890625,,
38.36871505,2127,154.8632813,1.669921875,51,103,7.990057,,
38.37971354,2138,155.0390625,1.845703125,51,103,17.578125,,
38.38971567,2148,155.1269531,1.93359375,51,103,8.7890625,,
38.39971685,2158,155.2148438,2.021484375,51,103,7.990057,,
38.41096091,2169,155.390625,2.197265625,51,103,17.578125,,
38.420959,2179,155.4785156,2.28515625,51,103,7.990057,,
38.43196106,2190,155.6542969,2.4609375,51,103,17.578125,,
38.44196296,2200,155.7421875,2.548828125,51,103,8.7890625,,
38.45196176,2211,155.8300781,2.63671875,51,103,7.990057,,
38.46296096,2221,155.9179688,2.724609375,51,103,8.7890625,,
38.47295904,2231,156.0058594,2.8125,51,103,7.990057,,
38.48396111,2242,156.09375,2.900390625,51,103,8.7890625,,
38.49396038,2252,156.1816406,2.98828125,51,103,7.990057,,
38.50496125,2263,156.2695313,3.076171875,51,103,8.7890625,,
38.51496148,2273,156.2695313,3.076171875,51,103,0,,
38.52496004,2283,156.3574219,3.1640625,51,103,7.990057,,
38.53595829,2294,156.4453125,3.251953125,51,103,8.7890625,,
38.54595947,2304,156.4453125,3.251953125,51,103,0,,
38.55696154,2315,156.5332031,3.33984375,51,103,8.7890625,,
38.56695914,2325,156.5332031,3.33984375,51,103,0,,
38.57795858,2336,156.5332031,3.33984375,51,103,0,,
38.5879612,2346,156.5332031,3.33984375,51,103,0,,
38.59796476,2356,156.4453125,3.251953125,51,103,-7.990057,,
38.60895944,2367,156.4453125,3.251953125,51,103,0,,
38.6189599,2377,156.4453125,3.251953125,51,103,0,,
38.62996507,2388,156.4453125,3.251953125,51,103,0,,
38.63996053,2398,156.4453125,3.251953125,51,103,0,,
38.64996028,2409,156.4453125,3.251953125,51,103,0,,
38.66095948,2419,156.4453125,3.251953125,51,103,0,,
38.67095947,2429,156.4453125,3.251953125,51,103,0,,
38.68196106,2440,156.4453125,3.251953125,51,103,0,,
38.69196129,2450,156.4453125,3.251953125,51,103,0,,
38.7029655,2461,156.5332031,3.33984375,51,103,8.7890625,,
38.71295953,2471,156.5332031,3.33984375,51,103,0,,
38.7229588,2482,156.5332031,3.33984375,51,103,0,,
38.73395944,2492,156.5332031,3.33984375,51,103,0,,
38.74396253,2502,156.5332031,3.33984375,51,103,0,,
38.75495958,2513,156.5332031,3.33984375,51,103,0,,
38.76496148,2523,156.6210938,3.427734375,51,103,7.990057,,
38.77596021,2534,156.6210938,3.427734375,51,103,0,,
38.78596234,2544,156.6210938,3.427734375,51,103,0,,
38.79596114,2555,156.5332031,3.33984375,51,103,-8.7890625,,
38.80696201,2565,156.5332031,3.33984375,51,103,0,,
38.81695867,2575,156.5332031,3.33984375,51,103,0,,
38.8279593,2586,156.4453125,3.251953125,51,103,-8.7890625,,
38.83796096,2596,156.4453125,3.251953125,51,103,0,,
38.8489604,2607,156.4453125,3.251953125,51,103,0,,
38.85895896,2617,156.3574219,3.1640625,51,103,-7.990057,,
38.86945891,2628,156.3574219,3.1640625,51,103,0,,
38.87944674,2638,156.3574219,3.1640625,51,103,0,,
38.8904469,2648,156.3574219,3.1640625,51,103,0,,
38.9004457,2659,156.2695313,3.076171875,51,103,-8.7890625,,
38.91153646,2669,156.2695313,3.076171875,51,103,0,,
38.92175674,2680,156.2695313,3.076171875,51,103,0,,
38.9317565,2690,156.2695313,3.076171875,51,103,0,,
38.9427588,2700,156.2695313,3.076171875,51,103,0,,
38.95275879,2711,156.2695313,3.076171875,51,103,0,,
38.96375918,2721,156.2695313,3.076171875,51,103,0,,
38.97375655,2732,156.2695313,3.076171875,51,103,0,,
38.98375654,2742,156.2695313,3.076171875,51,103,0,,
38.99501204,2753,156.2695313,3.076171875,51,103,0,,
39.00521421,2763,156.3574219,3.1640625,51,103,8.7890625,,
39.01521468,2773,156.3574219,3.1640625,51,103,0,,
39.02521491,2784,156.3574219,3.1640625,51,103,0,,
39.03621936,2794,156.3574219,3.1640625,51,103,0,,
39.04621506,2805,156.3574219,3.1640625,51,103,0,,
39.05721569,2815,156.3574219,3.1640625,51,103,0,,
39.0672164,2826,156.3574219,3.1640625,51,103,0,,
39.07822037,2836,156.2695313,3.076171875,51,103,-8.7890625,,
39.08821583,2846,156.2695313,3.076171875,51,103,0,,
39.09821606,2857,156.1816406,2.98828125,51,103,-8.7890625,,
39.10921764,2867,156.1816406,2.98828125,51,103,0,,
39.11921787,2878,156.1816406,2.98828125,51,103,0,,
39.13021708,2888,156.1816406,2.98828125,51,103,0,,
39.14021683,2899,156.1816406,2.98828125,51,103,0,,
39.15121675,2909,156.2695313,3.076171875,51,103,8.7890625,,
39.16121507,2919,156.2695313,3.076171875,51,103,0,,
39.17221475,2930,156.3574219,3.1640625,51,103,8.7890625,,
39.18221617,2940,156.3574219,3.1640625,51,103,0,,
39.19221473,2951,156.3574219,3.1640625,51,103,0,,
39.20321584,2961,156.4453125,3.251953125,51,103,7.990057,,
39.2132175,2972,156.4453125,3.251953125,51,103,0,,
39.2242167,2982,156.4453125,3.251953125,51,103,0,,
39.23421574,2992,156.4453125,3.251953125,51,103,0,,
39.24421716,3003,156.4453125,3.251953125,51,103,0,,
39.25521874,3013,156.5332031,3.33984375,51,103,7.990057,,
39.26521635,3024,156.5332031,3.33984375,51,103,0,,
39.27621508,3034,156.5332031,3.33984375,51,103,0,,
39.28621531,3045,156.5332031,3.33984375,51,103,0,,
39.29721665,3055,156.5332031,3.33984375,51,103,0,,
39.30721593,3065,156.5332031,3.33984375,51,103,0,,
39.31721759,3076,156.5332031,3.33984375,51,103,0,,
39.32821798,3086,156.4453125,3.251953125,51,103,-7.990057,,
39.33821487,3097,156.4453125,3.251953125,51,103,0,,
