Timestamp,Angular position,Angular velocity
5963,-10.8984375,63.9204559
5974,-10.10742188,79.1015625
5984,-9.31640625,79.1015625
5994,-8.349609375,87.890625
6005,-7.3828125,96.6796875
6015,-6.328125,95.8806839
6026,-5.2734375,105.46875
6036,-4.130859375,103.8707352
6047,-2.98828125,114.2578125
6057,-1.7578125,123.046875
6067,-0.615234375,103.8707352
6078,0.52734375,114.2578125
6088,1.7578125,111.8607941
6099,2.900390625,114.2578125
6109,4.04296875,103.8707352
6120,5.09765625,105.46875
6130,6.15234375,105.46875
6140,7.119140625,87.890625
6151,8.0859375,96.6796875
6161,8.96484375,79.9005661
6172,9.66796875,70.3125
6182,10.37109375,63.9204559
6193,10.98632813,61.5234375
6203,11.51367188,52.734375
6213,12.04101563,47.9403419
6224,12.3046875,26.3671875
6234,12.56835938,23.970171
6245,12.65625,8.7890625
6255,12.74414063,8.7890625
6265,12.65625,-7.990057
6276,12.48046875,-17.578125
6286,12.21679688,-23.970171
6297,11.86523438,-35.15625
6307,11.33789063,-47.9403419
6318,10.81054688,-52.734375
6328,10.1953125,-61.5234375
6338,9.404296875,-71.9105148
6349,8.61328125,-79.1015625
6359,7.734375,-79.9005661
6370,6.767578125,-96.6796875
6380,5.80078125,-87.890625
6391,4.74609375,-105.46875
6401,3.603515625,-114.2578125
6411,2.4609375,-103.8707352
6422,1.318359375,-114.2578125
6432,0.17578125,-103.8707352
6443,-0.966796875,-114.2578125
6453,-2.197265625,-111.8607941
6464,-3.33984375,-114.2578125
6474,-4.482421875,-114.2578125
6484,-5.537109375,-95.8806839
6495,-6.591796875,-105.46875
6505,-7.646484375,-95.8806839
6516,-8.61328125,-96.6796875
6526,-9.4921875,-79.9005661
6537,-10.28320313,-79.1015625
6547,-10.98632813,-70.3125
6557,-11.6015625,-55.930397
6568,-12.12890625,-52.734375
6578,-12.65625,-47.9403419
6589,-12.91992188,-26.3671875
6599,-13.18359375,-23.970171
6610,-13.27148438,-8.7890625
6620,-13.27148438,0
6630,-13.18359375,7.990057
6641,-13.0078125,17.578125
6651,-12.65625,31.960228
6662,-12.21679688,43.9453125
6672,-11.68945313,47.9403419
6683,-11.07421875,61.5234375
6693,-10.37109375,70.3125
6703,-9.580078125,71.9105148
6714,-8.701171875,87.890625
6724,-7.734375,87.890625
6735,-6.767578125,96.6796875
6745,-5.712890625,95.8806839
6756,-4.5703125,114.2578125
6766,-3.515625,105.46875
