timestamp (python), timestamp (Teensy), Angular pos (deg), AGC, Status, Angular Vel (deg),Angular Position (zeroed),,,
27.52364945,1021,128.671875,71,103,0,-0.17578125,,,
27.5346489,1032,128.671875,71,103,0,-0.17578125,,,
27.54465389,1042,128.671875,71,103,0,-0.17578125,,,
27.55464864,1053,128.671875,71,103,0,-0.17578125,,,
27.56564808,1063,128.671875,71,103,0,-0.17578125,,,
27.5756495,1073,128.671875,71,103,0,-0.17578125,,,
27.58664703,1084,128.671875,71,103,0,-0.17578125,,,
27.59664726,1094,128.671875,71,103,0,-0.17578125,,,
27.60764742,1105,128.671875,71,103,0,-0.17578125,,,
27.61764789,1115,128.671875,71,103,0,-0.17578125,,,
27.62764692,1126,128.671875,71,103,0,-0.17578125,,,
27.63864684,1136,128.671875,71,103,0,-0.17578125,,,
27.64865184,1146,128.671875,71,103,0,-0.17578125,,,
27.65964794,1157,128.671875,71,103,0,-0.17578125,,,
27.66964841,1167,128.671875,71,103,0,-0.17578125,,,
27.68065143,1178,128.671875,71,103,0,-0.17578125,,,
27.69064784,1188,128.671875,71,103,0,-0.17578125,,,
27.70065117,1199,128.671875,71,103,0,-0.17578125,,,
27.71164775,1209,128.671875,71,103,0,-0.17578125,,,
27.72164941,1219,128.671875,71,103,0,-0.17578125,,,
27.7326479,1230,128.671875,71,103,0,-0.17578125,,,
27.74264979,1240,128.671875,71,103,0,-0.17578125,,,
27.75265145,1251,128.7597656,71,103,8.7890625,-0.087890625,,,
27.76364779,1261,128.7597656,71,103,0,-0.087890625,,,
27.77364922,1272,128.7597656,71,103,0,-0.087890625,,,
27.78464699,1282,128.7597656,71,103,0,-0.087890625,,,
27.79464841,1292,128.7597656,71,103,0,-0.087890625,,,
27.8056488,1303,128.7597656,71,103,0,-0.087890625,,,
27.81564879,1313,128.7597656,71,103,0,-0.087890625,,,
27.82564902,1324,128.7597656,71,103,0,-0.087890625,,,
27.83664918,1334,128.8476563,71,103,7.990057,0,,,
27.84666204,1345,128.7597656,71,103,-8.7890625,-0.087890625,,,
27.85766125,1355,128.8476563,71,103,8.7890625,0,,,
27.86766577,1365,128.8476563,71,103,0,0,,,
27.87866426,1376,128.8476563,71,103,0,0,,,
27.88866138,1386,128.8476563,71,103,0,0,,,
27.89866209,1397,128.8476563,71,103,0,0,,,
27.90966582,1407,128.8476563,71,103,0,0,,,
27.91966152,1418,128.8476563,71,103,0,0,,,
27.93067503,1428,128.8476563,71,103,0,0,,,
27.94067717,1438,128.9355469,71,103,7.990057,0.087890625,,,
27.95178604,1449,128.9355469,71,103,0,0.087890625,,,
27.96167445,1459,128.9355469,71,103,0,0.087890625,,,
27.97167444,1470,128.9355469,71,103,0,0.087890625,,,
27.98267531,1480,128.9355469,71,103,0,0.087890625,,,
27.99267459,1490,128.9355469,71,103,0,0.087890625,,,
28.00367498,1501,128.9355469,71,103,0,0.087890625,,,
28.01367521,1511,128.9355469,71,103,0,0.087890625,,,
28.02467823,1522,128.9355469,71,103,0,0.087890625,,,
28.03467584,1532,128.9355469,71,103,0,0.087890625,,,
28.04467487,1543,128.9355469,71,103,0,0.087890625,,,
28.05567503,1553,128.9355469,71,103,0,0.087890625,,,
28.06567812,1563,128.9355469,71,103,0,0.087890625,,,
28.07667446,1574,128.9355469,71,103,0,0.087890625,,,
28.08667731,1584,128.9355469,71,103,0,0.087890625,,,
28.09708643,1595,128.9355469,71,103,0,0.087890625,,,
28.10767531,1605,128.8476563,71,103,-7.990057,0,,,
28.11767483,1616,128.8476563,71,103,0,0,,,
28.12868285,1626,128.8476563,71,103,0,0,,,
28.13868213,1636,128.8476563,71,103,0,0,,,
28.149683,1647,128.8476563,71,103,0,0,,,
28.15968251,1657,128.8476563,71,103,0,0,,,
28.16968298,1668,128.8476563,71,103,0,0,,,
28.1806829,1678,128.8476563,71,103,0,0,,,
28.19068241,1689,128.8476563,71,103,0,0,,,
28.20168328,1699,128.8476563,71,103,0,0,,,
28.21168399,1709,128.8476563,71,103,0,0,,,
28.22268391,1720,128.7597656,71,103,-8.7890625,-0.087890625,,,
28.23268557,1730,128.7597656,71,103,0,-0.087890625,,,
28.24368477,1741,128.7597656,71,103,0,-0.087890625,,,
28.25368547,1751,128.7597656,71,103,0,-0.087890625,,,
28.26397824,1762,128.7597656,71,103,0,-0.087890625,,,
28.2747035,1772,128.7597656,71,103,0,-0.087890625,,,
28.28528833,1782,128.7597656,71,103,0,-0.087890625,,,
28.29533911,1793,128.7597656,71,103,0,-0.087890625,,,
28.30576873,1803,128.7597656,71,103,0,-0.087890625,,,
28.31635308,1814,128.7597656,71,103,0,-0.087890625,,,
28.3268199,1824,128.7597656,71,103,0,-0.087890625,,,
28.337147,1835,128.7597656,71,103,0,-0.087890625,,,
28.34770632,1845,128.7597656,71,103,0,-0.087890625,,,
28.35829568,1855,128.7597656,71,103,0,-0.087890625,,,
28.3687346,1866,128.7597656,71,103,0,-0.087890625,,,
28.37873197,1876,128.7597656,71,103,0,-0.087890625,,,
28.38866591,1887,128.7597656,71,103,0,-0.087890625,,,
28.40013218,1897,128.7597656,71,103,0,-0.087890625,,,
28.40967226,1907,128.7597656,71,103,0,-0.087890625,,,
28.42066932,1918,128.7597656,71,103,0,-0.087890625,,,
28.43067265,1928,128.7597656,71,103,0,-0.087890625,,,
28.44166923,1939,128.7597656,71,103,0,-0.087890625,,,
28.45167017,1949,128.7597656,71,103,0,-0.087890625,,,
28.46167183,1960,128.7597656,71,103,0,-0.087890625,,,
28.47267294,1970,128.7597656,71,103,0,-0.087890625,,,
28.48266959,1980,128.7597656,71,103,0,-0.087890625,,,
28.49376321,1991,128.7597656,71,103,0,-0.087890625,,,
28.50376463,2001,128.8476563,71,103,7.990057,0,,,
28.5137639,2012,128.7597656,71,103,-8.7890625,-0.087890625,,,
28.52476335,2022,128.8476563,71,103,7.990057,0,,,
28.53476429,2033,128.8476563,71,103,0,0,,,
28.54576468,2043,128.8476563,71,103,0,0,,,
28.55576324,2053,128.8476563,71,103,0,0,,,
28.5667634,2064,128.8476563,71,103,0,0,,,
28.57676315,2074,128.8476563,71,103,0,0,,,
28.58676362,2085,128.8476563,71,103,0,0,,,
28.5977633,2095,128.8476563,71,103,0,0,,,
28.60776591,2106,128.8476563,71,103,0,0,,,
28.61876726,2116,128.8476563,71,103,0,0,,,
28.62876296,2126,128.8476563,71,103,0,0,,,
28.63976336,2137,128.8476563,71,103,0,0,,,
28.64976335,2147,128.8476563,71,103,0,0,,,
28.65976334,2158,128.8476563,71,103,0,0,,,
28.67076349,2168,128.8476563,71,103,0,0,,,
28.68076372,2179,128.8476563,71,103,0,0,,,
28.69176507,2189,128.8476563,71,103,0,0,,,
28.70176387,2199,128.8476563,71,103,0,0,,,
28.71276331,2210,128.8476563,71,103,0,0,,,
28.72276425,2220,128.8476563,71,103,0,0,,,
28.73276377,2231,128.9355469,71,103,8.7890625,0.087890625,,,
28.74376392,2241,128.9355469,71,103,0,0.087890625,,,
28.75376344,2252,129.0234375,71,103,8.7890625,0.17578125,,,
28.76476574,2262,129.1113281,71,103,8.7890625,0.263671875,,,
28.77476406,2272,129.2871094,71,103,15.980114,0.439453125,,,
28.78476381,2283,129.4628906,71,103,17.578125,0.615234375,,,
28.79576397,2293,129.6386719,71,103,15.980114,0.791015625,,,
28.80576611,2304,129.9023438,71,103,26.3671875,1.0546875,,,
28.81676292,2314,130.1660156,71,103,26.3671875,1.318359375,,,
28.82676315,2324,130.4296875,71,103,23.970171,1.58203125,,,
28.83776426,2335,130.6054688,71,103,17.578125,1.7578125,,,
28.84776354,2345,130.8691406,71,103,23.970171,2.021484375,,,
28.85776281,2356,131.1328125,71,103,26.3671875,2.28515625,,,
28.86876297,2366,131.3964844,71,103,23.970171,2.548828125,,,
28.87876487,2377,131.6601563,71,103,26.3671875,2.8125,,,
28.88976336,2387,131.9238281,71,103,26.3671875,3.076171875,,,
28.89976382,2397,132.0996094,71,103,15.980114,3.251953125,,,
28.91076398,2408,132.3632813,71,103,26.3671875,3.515625,,,
28.92076802,2418,132.5390625,71,103,15.980114,3.69140625,,,
28.93076301,2429,132.7148438,71,103,17.578125,3.8671875,,,
28.94176316,2439,132.9785156,71,103,23.970171,4.130859375,,,
28.95176601,2450,133.1542969,71,103,17.578125,4.306640625,,,
28.96276379,2460,133.3300781,71,103,17.578125,4.482421875,,,
28.97276306,2470,133.5058594,71,103,15.980114,4.658203125,,,
28.98376513,2481,133.6816406,71,103,17.578125,4.833984375,,,
28.99376321,2491,133.8574219,71,103,15.980114,5.009765625,,,
29.00476336,2502,134.1210938,71,103,26.3671875,5.2734375,,,
29.01476383,2512,134.296875,71,103,15.980114,5.44921875,,,
29.02476668,2523,134.5605469,71,103,26.3671875,5.712890625,,,
29.03576541,2533,134.8242188,71,103,26.3671875,5.9765625,,,
29.04576564,2543,135,71,103,15.980114,6.15234375,,,
29.05676293,2554,135.1757813,71,103,17.578125,6.328125,,,
29.06676388,2564,135.3515625,71,103,15.980114,6.50390625,,,
29.07676387,2575,135.5273438,71,103,17.578125,6.6796875,,,
29.08776426,2585,135.703125,71,103,15.980114,6.85546875,,,
29.09851813,2596,135.8789063,71,103,17.578125,7.03125,,,
29.10852909,2606,135.9667969,71,103,8.7890625,7.119140625,,,
29.11852431,2616,136.1425781,71,103,15.980114,7.294921875,,,
29.12969899,2627,136.3183594,71,103,17.578125,7.470703125,,,
29.13970089,2637,136.4941406,71,103,15.980114,7.646484375,,,
29.14969873,2648,136.6699219,71,103,17.578125,7.822265625,,,
29.16069841,2658,136.7578125,71,103,7.990057,7.91015625,,,
29.17069912,2669,136.9335938,71,103,17.578125,8.0859375,,,
29.18169928,2679,137.109375,71,103,17.578125,8.26171875,,,
29.19169831,2689,137.2851563,71,103,15.980114,8.4375,,,
29.20269847,2700,137.4609375,71,103,17.578125,8.61328125,,,
29.2127018,2710,137.5488281,71,103,7.990057,8.701171875,,,
29.22269869,2721,137.7246094,71,103,17.578125,8.876953125,,,
29.23369837,2731,137.9003906,71,103,15.980114,9.052734375,,,
29.2437017,2742,138.0761719,71,103,17.578125,9.228515625,,,
29.25470114,2752,138.1640625,71,103,8.7890625,9.31640625,,,
29.26469827,2762,138.3398438,71,103,15.980114,9.4921875,,,
29.27569818,2773,138.515625,71,103,17.578125,9.66796875,,,
29.28569984,2783,138.6914063,71,103,15.980114,9.84375,,,
29.29569793,2794,138.7792969,71,103,8.7890625,9.931640625,,,
29.30669856,2804,138.9550781,71,103,15.980114,10.10742188,,,
29.3166995,2815,139.1308594,71,103,17.578125,10.28320313,,,
29.32770467,2825,139.21875,71,103,8.7890625,10.37109375,,,
29.33769894,2835,139.3945313,71,103,15.980114,10.546875,,,
29.34869838,2846,139.5703125,71,103,17.578125,10.72265625,,,
29.35869884,2856,139.7460938,71,103,15.980114,10.8984375,,,
29.3686986,2867,139.8339844,71,103,8.7890625,10.98632813,,,
29.37969875,2877,140.0976563,71,103,26.3671875,11.25,,,
29.38969898,2888,140.1855469,71,103,7.990057,11.33789063,,,
29.40069962,2898,140.3613281,71,103,17.578125,11.51367188,,,
29.41129017,2908,140.4492188,71,103,7.990057,11.6015625,,,
29.42136407,2919,140.625,71,103,17.578125,11.77734375,,,
29.4314127,2929,140.8007813,71,103,15.980114,11.953125,,,
29.4424119,2940,140.8886719,71,103,8.7890625,12.04101563,,,
29.45241261,2950,140.9765625,71,103,8.7890625,12.12890625,,,
29.4624145,2960,141.1523438,71,103,15.980114,12.3046875,,,
