timestamp (python), timestamp (Teensy), Angular pos (deg), AGC, Status, Angular Vel (deg)
1.252410650253296, 0, 153.544921875, 51, 103, 0.0000000
1.2628324031829834, 10, 153.544921875, 51, 103, 0.0000000
1.272831916809082, 21, 153.544921875, 51, 103, 0.0000000
1.2830743789672852, 31, 153.544921875, 51, 103, 0.0000000
1.2937288284301758, 41, 153.544921875, 51, 103, 0.0000000
1.3047490119934082, 52, 153.544921875, 51, 103, 0.0000000
1.3147509098052979, 62, 153.544921875, 51, 103, 0.0000000
1.324751615524292, 73, 153.544921875, 51, 103, 0.0000000
1.3354051113128662, 83, 153.544921875, 51, 103, 0.0000000
1.3464176654815674, 94, 153.544921875, 51, 103, 0.0000000
1.3564198017120361, 104, 153.544921875, 51, 103, 0.0000000
1.3664186000823975, 114, 153.544921875, 51, 103, 0.0000000
1.3774168491363525, 125, 153.544921875, 51, 103, 0.0000000
1.387416124343872, 135, 153.544921875, 51, 103, 0.0000000
1.39841628074646, 146, 153.544921875, 51, 103, 0.0000000
1.4084160327911377, 156, 153.544921875, 51, 103, 0.0000000
1.4193124771118164, 167, 153.544921875, 51, 103, 0.0000000
1.4291248321533203, 177, 153.544921875, 51, 103, 0.0000000
1.440157413482666, 187, 153.544921875, 51, 103, 0.0000000
1.4501569271087646, 198, 153.544921875, 51, 103, 0.0000000
1.4611608982086182, 208, 153.544921875, 51, 103, 0.0000000
1.4711756706237793, 219, 153.544921875, 51, 103, 0.0000000
1.481175422668457, 229, 153.544921875, 51, 103, 0.0000000
1.4921796321868896, 239, 153.544921875, 51, 103, 0.0000000
1.502178430557251, 250, 153.544921875, 51, 103, 0.0000000
1.5131762027740479, 260, 153.544921875, 51, 103, 0.0000000
1.5231940746307373, 271, 153.544921875, 51, 103, 0.0000000
1.5331943035125732, 281, 153.544921875, 51, 103, 0.0000000
1.5436811447143555, 292, 153.544921875, 51, 103, 0.0000000
1.5541815757751465, 302, 153.544921875, 51, 103, 0.0000000
1.5651826858520508, 312, 153.544921875, 51, 103, 0.0000000
1.5751926898956299, 323, 153.544921875, 51, 103, 0.0000000
1.585815668106079, 333, 153.544921875, 51, 103, 0.0000000
1.595815658569336, 344, 153.544921875, 51, 103, 0.0000000
1.6066405773162842, 354, 153.544921875, 51, 103, 0.0000000
1.6166417598724365, 365, 153.544921875, 51, 103, 0.0000000
1.6276593208312988, 375, 153.544921875, 51, 103, 0.0000000
1.6376574039459229, 385, 153.544921875, 51, 103, 0.0000000
1.6486585140228271, 396, 153.544921875, 51, 103, 0.0000000
1.6588363647460938, 406, 153.544921875, 51, 103, 0.0000000
1.6690375804901123, 417, 153.544921875, 51, 103, 0.0000000
1.680039405822754, 427, 153.544921875, 51, 103, 0.0000000
1.6900417804718018, 438, 153.544921875, 51, 103, 0.0000000
1.700242280960083, 448, 153.544921875, 51, 103, 0.0000000
1.7112858295440674, 458, 153.544921875, 51, 103, 0.0000000
1.7211053371429443, 469, 153.544921875, 51, 103, 0.0000000
1.7321059703826904, 479, 153.544921875, 51, 103, 0.0000000
1.7421047687530518, 490, 153.544921875, 51, 103, 0.0000000
1.7530267238616943, 500, 153.544921875, 51, 103, 0.0000000
1.7630510330200195, 511, 153.544921875, 51, 103, 0.0000000
1.7730538845062256, 521, 153.544921875, 51, 103, 0.0000000
1.7840497493743896, 531, 153.544921875, 51, 103, 0.0000000
1.7940499782562256, 542, 153.544921875, 51, 103, 0.0000000
1.8042855262756348, 552, 153.544921875, 51, 103, 0.0000000
1.8152377605438232, 563, 153.544921875, 51, 103, 0.0000000
1.8252372741699219, 573, 153.544921875, 51, 103, 0.0000000
1.8362605571746826, 584, 153.544921875, 51, 103, 0.0000000
1.8462612628936768, 594, 153.544921875, 51, 103, 0.0000000
1.8572607040405273, 604, 153.544921875, 51, 103, 0.0000000
1.8672590255737305, 615, 153.544921875, 51, 103, 0.0000000
1.8772616386413574, 625, 153.544921875, 51, 103, 0.0000000
1.8881206512451172, 636, 153.544921875, 51, 103, 0.0000000
1.8984487056732178, 646, 153.544921875, 51, 103, 0.0000000
1.9094514846801758, 656, 153.544921875, 51, 103, 0.0000000
1.919421672821045, 667, 153.544921875, 51, 103, 0.0000000
1.9295928478240967, 677, 153.544921875, 51, 103, 0.0000000
1.9405922889709473, 688, 153.544921875, 51, 103, 0.0000000
1.9505929946899414, 698, 153.544921875, 51, 103, 0.0000000
1.9612042903900146, 709, 153.544921875, 51, 103, 0.0000000
1.9712004661560059, 719, 153.544921875, 51, 103, 0.0000000
1.9819848537445068, 729, 153.544921875, 51, 103, 0.0000000
1.9921603202819824, 740, 153.544921875, 51, 103, 0.0000000
2.002453565597534, 750, 153.544921875, 51, 103, 0.0000000
2.0134685039520264, 761, 153.544921875, 51, 103, 0.0000000
2.0234663486480713, 771, 153.544921875, 51, 103, 0.0000000
2.0344340801239014, 782, 153.544921875, 51, 103, 0.0000000
2.044431209564209, 792, 153.544921875, 51, 103, 0.0000000
2.05476713180542, 802, 153.544921875, 51, 103, 0.0000000
2.065783977508545, 813, 153.544921875, 51, 103, 0.0000000
2.075782299041748, 823, 153.544921875, 51, 103, 0.0000000
2.0857839584350586, 834, 153.544921875, 51, 103, 0.0000000
2.0968048572540283, 844, 153.544921875, 51, 103, 0.0000000
2.1068003177642822, 855, 153.544921875, 51, 103, 0.0000000
2.1178009510040283, 865, 153.544921875, 51, 103, 0.0000000
2.1277995109558105, 875, 153.544921875, 51, 103, 0.0000000
2.1388142108917236, 886, 153.544921875, 51, 103, 0.0000000
