timestamp, a_x, a_y, a_z, gr_x, gr_y, gr_z, ga_x, ga_y, ga_z, vel L, vel R, pendAngle
17, 1.140029, -0.172441, -9.75252, 0.096674, -0.01408, 0.007057, -176.400482, -5.066028, -46.430271, 0.0, 0.0, -46.430267
45, 0.972378, -0.138911, -9.77168, 0.081618, -0.005154, 0.004792, -176.457993, -4.957116, -46.419132, 0.0, 0.0, -46.419128
74, 1.144819, -0.158071, -9.783655, 0.084816, -0.011682, 0.00759, -176.497375, -5.114781, -46.426731, 0.0, 0.0, -46.426727
102, 1.049019, -0.105381, -9.78605, 0.092677, -0.04126, 0.002926, -176.457596, -5.135384, -46.42152, 0.0, 0.0, -46.421509
130, 1.015488, -0.160466, -9.678274, 0.081618, -0.003289, 0.003992, -176.432526, -5.06263, -46.413731, 0.0, 0.0, -46.413727
159, 1.077759, -0.107776, -9.80521, 0.095341, -0.011016, 0.008922, -176.504883, -5.122777, -46.415745, 0.0, 0.0, -46.415741
187, 1.130449, -0.162861, -9.735755, 0.085882, -0.000624, 0.005325, -176.443344, -5.151993, -46.414379, 0.0, 0.0, -46.414368
216, 1.015488, -0.148491, -9.666299, 0.083617, -0.005554, 0.002926, -176.402588, -5.143896, -46.40649, 0.0, 0.0, -46.406464
244, 1.025068, -0.122146, -9.73815, 0.091344, -0.001823, 0.006923, -176.421509, -5.059877, -46.396469, 0.0, 0.0, -46.396454
272, 1.123264, -0.141306, -9.953702, 0.083217, -0.001823, 0.004525, -176.330887, -5.153201, -46.395893, 0.0, 0.0, -46.395874
301, 0.948428, -0.117356, -9.704619, 0.096141, -0.013281, 0.010387, -176.359604, -5.082459, -46.387459, 0.0, 0.0, -46.387451
329, 1.001118, -0.134121, -9.927357, 0.086548, -0.001557, 0.008122, -176.384369, -4.999758, -46.379742, 0.0, 0.0, -46.37973
358, 1.049019, -0.122146, -9.74773, 0.082684, 0.025889, 0.007456, -176.304977, -5.008411, -46.37582, 0.0, 0.0, -46.375793
386, 1.041834, -0.196392, -9.735755, 0.098006, -0.008618, 0.007323, -176.389633, -5.081847, -46.376862, 0.0, 0.0, -46.376862
414, 1.013093, -0.114961, -9.833951, 0.08415, -0.000891, 0.003326, -176.46637, -5.002509, -46.366249, 0.0, 0.0, -46.366241
443, 1.065784, -0.170046, -9.778865, 0.092677, -0.016745, 0.006657, -176.451904, -4.998285, -46.363022, 0.0, 0.0, -46.363007
471, 1.094524, -0.155676, -9.716595, 0.088413, -0.004621, 0.004658, -176.367874, -5.054554, -46.361824, 0.0, 0.0, -46.361816
486, 1.053809, -0.007185, -9.735755, 0.080819, -0.002356, 0.001861, -176.337875, -5.028255, -46.35622, 0.0, 0.0, -46.356201
514, 0.996328, -0.126936, -9.687855, 0.094675, -0.015679, 0.002127, -176.400574, -4.922276, -46.342396, 0.0, 0.0, -46.342377
542, 1.113684, -0.170046, -9.735755, 0.089745, -0.007819, 0.007989, -176.337479, -5.087267, -46.350166, 0.0, 0.0, -46.350159
557, 1.087339, -0.131726, -9.718989, 0.088147, -0.002623, 0.006524, -176.290192, -5.100202, -46.349262, 0.0, 0.0, -46.349243
585, 0.938848, -0.129331, -9.77647, 0.089479, -0.015812, 0.009988, -176.392014, -4.996338, -46.340771, 0.0, 0.0, -46.340759
613, 1.020278, -0.117356, -9.915381, 0.095741, -0.002756, 0.006257, -176.433456, -4.90736, -46.330528, 0.0, 0.0, -46.330505
642, 1.101709, -0.098196, -9.730965, 0.08415, 0.001508, 0.005724, -176.331146, -4.949561, -46.332214, 0.0, 0.0, -46.332214
670, 1.015488, -0.117356, -9.81, 0.091744, -0.009284, 0.006257, -176.445801, -4.963436, -46.330204, 0.0, 0.0, -46.3302
699, 1.027463, -0.126936, -9.75252, 0.088013, -0.001024, 0.005857, -176.46669, -4.903957, -46.322594, 0.0, 0.0, -46.322571
727, 1.149609, -0.155676, -9.766891, 0.085882, 0.025623, 0.00719, -176.36055, -5.023648, -46.328266, 0.0, 0.0, -46.328247
755, 1.044229, -0.193997, -9.72378, 0.096007, -0.003422, 0.00679, -176.42627, -5.129437, -46.331131, 0.0, 0.0, -46.331116
784, 1.034649, -0.074246, -9.802815, 0.081219, -0.002756, 0.006124, -176.424438, -5.043969, -46.322899, 0.0, 0.0, -46.322876
812, 1.128054, -0.117356, -9.910591, 0.093609, -0.015812, 0.007723, -176.32132, -5.11271, -46.324318, 0.0, 0.0, -46.32431
841, 1.068179, -0.117356, -9.812395, 0.091344, -0.003289, 0.007323, -176.261353, -5.11515, -46.318871, 0.0, 0.0, -46.318848
869, 0.962798, -0.170046, -9.711804, 0.112395, -0.005154, 0.005857, -176.428894, -5.043424, -46.310448, 0.0, 0.0, -46.310425
898, 1.063389, -0.086221, -9.685459, 0.095741, -0.013547, 0.004392, -176.378387, -5.003917, -46.301422, 0.0, 0.0, -46.301422
926, 1.027463, -0.112566, -9.917776, 0.085349, -0.00129, 0.004925, -176.357544, -4.936764, -46.291714, 0.0, 0.0, -46.291687
954, 0.953218, -0.098196, -9.673484, 0.081219, -0.005287, 0.005191, -176.424591, -4.829859, -46.282249, 0.0, 0.0, -46.282227
983, 1.053809, -0.0479, -9.807606, 0.09201, -0.007552, 0.004925, -176.375183, -4.788566, -46.275234, 0.0, 0.0, -46.275208
1011, 1.087339, -0.174836, -9.764495, 0.085349, -0.000757, 0.004792, -176.364868, -5.000082, -46.285419, 0.0, 0.0, -46.2854
1040, 0.965193, -0.172441, -9.85311, 0.084816, -0.005287, 0.004925, -176.450607, -4.921124, -46.275204, 0.0, 0.0, -46.275177
1069, 0.941243, -0.131726, -9.766891, 0.093742, -0.001024, 0.004792, -176.475662, -4.875827, -46.266735, 0.0, 0.0, -46.266724
1097, 1.108894, -0.172441, -9.843531, 0.085749, -0.00169, 0.005591, -176.389496, -4.988574, -46.268272, 0.0, 0.0, -46.26825
1126, 0.991538, -0.00479, -9.944121, 0.094808, -0.016745, 0.007323, -176.34111, -4.992758, -46.265221, 0.0, 0.0, -46.265198
1154, 1.082549, -0.122146, -9.79563, 0.085482, -0.004221, 0.006524, -176.325516, -4.961946, -46.260651, 0.0, 0.0, -46.260651
